pod_count,client_threads,avg_response
1,1,0.6296857595443726
1,6,0.5202069282531738
1,11,0.49776001771291095
1,16,0.5296220382054647
1,21,0.5007040500640869
1,26,0.4873197873433431
1,31,0.512404998143514
2,1,0.6357979774475098
2,6,0.3601105610529582
2,11,0.36547406514485675
2,16,0.5336811145146688
2,21,0.4178107976913452
2,26,0.43491772810618085
2,31,0.4516996145248413
3,1,0.6279117266337076
3,6,0.4182674090067546
3,11,0.44973933696746826
3,16,0.4146493673324585
3,21,0.4182409445444743
3,26,0.3753114144007365
3,31,0.4715861479441325
